id ,birthdate,age,category,facility_id,join_date,retire_date
1,2015-05-11,7,junior,1.0,2022-05-11,2022-05-28
2,2004-09-27,17,junior,1.0,2019-12-05,2020-12-03
3,2002-10-31,19,junior,1.0,2022-04-29,2022-05-16
4,2013-08-01,8,junior,1.0,2021-11-26,2021-11-29
5,2006-12-29,15,junior,1.0,2021-06-27,2021-09-24
6,2008-06-28,13,junior,1.0,2019-12-06,2022-01-20
7,2005-04-09,17,junior,1.0,2019-12-24,2020-07-22
8,2004-02-18,18,junior,2.0,2021-02-09,2022-01-28
9,2009-07-22,12,junior,2.0,2021-09-15,2021-11-06
10,2008-07-11,13,junior,2.0,2020-05-15,2022-02-04
11,2005-06-30,16,junior,2.0,2019-07-10,2020-10-16
12,2014-07-05,7,junior,2.0,2021-10-25,2022-05-07
13,2003-11-04,18,junior,2.0,2021-12-17,2022-05-25
14,2012-02-07,10,junior,2.0,2020-03-21,2020-08-08
15,2012-08-23,9,junior,2.0,2020-03-04,2020-04-04
16,2008-05-08,14,junior,2.0,2021-01-17,2021-10-12
17,2011-06-26,10,junior,2.0,2020-03-16,2021-12-26
18,2002-09-02,19,junior,3.0,2019-06-23,2021-07-22
19,2008-12-16,13,junior,3.0,2019-10-25,2021-05-22
20,2004-08-07,17,junior,3.0,2019-07-28,2020-11-28
21,2001-09-13,20,junior,3.0,2022-05-22,2022-05-25
22,2010-10-03,11,junior,3.0,2020-09-13,2021-10-17
23,2010-03-21,12,junior,3.0,2020-12-16,2022-02-08
24,2010-12-29,11,junior,3.0,2020-07-02,2021-11-18
25,2009-12-17,12,junior,3.0,2020-10-23,2021-08-27
26,2012-05-27,10,junior,3.0,2021-09-06,2022-01-16
27,2012-09-23,9,junior,3.0,2022-02-17,2022-04-09
28,2013-11-25,8,junior,3.0,2021-12-31,2022-03-28
29,2015-04-29,7,junior,3.0,2022-05-15,2022-05-19
30,2002-04-07,20,junior,4.0,2019-11-30,2021-12-05
31,2008-03-16,14,junior,4.0,2019-11-09,2021-08-12
32,2012-01-27,10,junior,4.0,2020-04-09,2021-08-21
33,2003-12-20,18,junior,4.0,2021-05-13,2021-09-03
34,2006-03-04,16,junior,5.0,2020-05-04,2020-10-21
35,2011-01-13,11,junior,5.0,2021-11-30,2022-03-08
36,2015-04-15,7,junior,5.0,2022-05-13,2022-05-15
37,2003-03-16,19,junior,5.0,2021-08-25,2021-11-29
38,2010-05-11,12,junior,5.0,2019-06-06,2019-12-29
39,2012-07-22,9,junior,5.0,2021-02-28,2022-05-21
40,2014-05-11,8,junior,5.0,2021-07-21,2021-08-25
41,2008-11-27,13,junior,5.0,2021-04-01,2021-04-24
42,2014-04-04,8,junior,5.0,2021-06-04,2022-02-20
43,1984-08-28,37,adult,1.0,2021-06-21,2021-08-11
44,1972-07-30,49,adult,1.0,2021-01-13,2022-01-28
45,1989-07-11,32,adult,1.0,2020-09-27,2022-02-01
46,1995-02-14,27,adult,1.0,2020-04-14,2021-09-22
47,1991-02-02,31,adult,1.0,2020-07-01,2020-08-01
48,1995-07-10,26,adult,1.0,2020-07-25,2021-01-27
49,1986-12-15,35,adult,1.0,2019-10-29,2021-04-21
50,1998-04-03,24,adult,1.0,2022-01-30,2022-03-15
51,1993-11-22,28,adult,1.0,2022-04-11,2022-05-08
52,1997-05-26,25,adult,1.0,2019-10-29,2019-11-16
53,1987-08-06,34,adult,1.0,2021-04-01,2022-04-15
54,1982-07-31,39,adult,1.0,2019-06-25,2021-06-01
55,1994-07-25,27,adult,1.0,2019-09-24,2020-10-15
56,1991-08-07,30,adult,2.0,2022-04-03,2022-05-30
57,1986-03-21,36,adult,2.0,2020-02-21,2022-01-11
58,1978-06-12,43,adult,2.0,2020-11-15,2021-08-02
59,1999-06-06,22,adult,2.0,2021-10-17,2022-04-23
60,1990-11-17,31,adult,2.0,2022-05-04,2022-05-11
61,1999-02-20,23,adult,2.0,2020-03-27,2022-05-08
62,1972-08-11,49,adult,2.0,2019-12-19,2021-10-04
63,1986-02-05,36,adult,2.0,2021-03-06,2021-07-31
64,1994-12-24,27,adult,2.0,2021-11-08,2022-02-28
65,1986-09-07,35,adult,2.0,2022-05-23,2022-05-25
66,1986-12-28,35,adult,2.0,2021-08-20,2021-09-16
67,1984-04-19,38,adult,2.0,2021-01-24,2021-03-24
68,1980-02-11,42,adult,3.0,2020-09-26,2021-05-27
69,1991-05-19,31,adult,3.0,2021-06-14,2021-12-02
70,1975-10-13,46,adult,3.0,2020-05-02,2020-07-19
71,1992-05-17,30,adult,3.0,2020-01-17,2021-12-27
72,1995-08-29,26,adult,3.0,2022-01-23,2022-03-13
73,1986-08-01,35,adult,3.0,2021-02-04,2022-03-17
74,1985-09-22,36,adult,3.0,2021-08-08,2022-03-17
75,1998-04-25,24,adult,3.0,2020-01-13,2022-04-08
76,1978-11-21,43,adult,3.0,2019-10-05,2021-07-24
77,1987-03-08,35,adult,3.0,2019-11-06,2021-02-17
78,1991-02-03,31,adult,3.0,2020-03-29,2022-01-27
79,1974-06-14,47,adult,3.0,2020-10-29,2021-04-22
80,1976-05-16,46,adult,3.0,2019-09-13,2020-11-08
81,1999-09-26,22,adult,4.0,2021-03-08,2021-09-04
82,1983-03-04,39,adult,4.0,2019-12-14,2021-08-20
83,1989-08-07,32,adult,4.0,2022-01-10,2022-02-18
84,1980-07-29,41,adult,4.0,2019-09-22,2022-02-15
85,1998-08-30,23,adult,4.0,2020-07-19,2022-03-26
86,1987-03-07,35,adult,4.0,2021-11-03,2022-01-05
87,1994-08-22,27,adult,4.0,2019-11-07,2020-09-15
88,1991-01-24,31,adult,4.0,2019-06-09,2020-02-22
89,1975-04-06,47,adult,4.0,2021-10-18,2022-02-17
90,1990-02-11,32,adult,4.0,2022-04-24,2022-05-04
91,2000-01-30,22,adult,4.0,2022-01-13,2022-03-12
92,1988-09-28,33,adult,4.0,2020-01-12,2021-09-04
93,1991-12-30,30,adult,5.0,2021-04-08,2021-10-13
94,1991-07-09,30,adult,5.0,2021-06-17,2021-07-24
